FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160527;0000;19,2647;;;
160528;0000;31,3584;;;
160529;0000;20,616;;;
160530;0000;18,3414;;;
160531;0000;12,9674;;;
160601;0000;23,8858;;;
160602;0000;22,1233;;;
160603;0000;19,6815;;;
160604;0000;18,0355;;;
160605;0000;21,9868;;;
160606;0000;27,7702;;;
160607;0000;26,4744;;;
160608;0000;19,8511;;;
160609;0000;28,8181;;;
160610;0000;19,1515;;;
160611;0000;9,67426;;;
160612;0000;7,49123;;;
160613;0000;12,4668;;;
160614;0000;14,5348;;;
160615;0000;13,1734;;;
160616;0000;18,5182;;;
160617;0000;17,2308;;;
160618;0000;14,9421;;;
160619;0000;10,2442;;;
160620;0000;8,77156;;;
160621;0000;11,478;;;
160622;0000;8,79964;;;
160623;0000;17,666;;;
160624;0000;21,3419;;;
160625;0000;21,2349;;;
160626;0000;19,0577;;;
160627;0000;10,043;;;
160628;0000;9,79572;;;
160629;0000;24,9519;;;
160630;0000;20,4339;;;
160701;0000;14,778;;;
160702;0000;9,30754;;;
160703;0000;12,9467;;;
160704;0000;22,3749;;;
160705;0000;22,6337;;;
160706;0000;19,4021;;;
160707;0000;17,3463;;;
160708;0000;18,4122;;;
160709;0000;19,3368;;;
160710;0000;8,02017;;;
160711;0000;4,22017;;;
160712;0000;14,7648;;;
160713;0000;13,2299;;;
160714;0000;16,9651;;;
160715;0000;17,4392;;;
160716;0000;16,8379;;;
160717;0000;14,6291;;;
160718;0000;14,5976;;;
160719;0000;13,9844;;;
160720;0000;14,8456;;;
160721;0000;21,97;;;
160722;0000;17,3145;;;
160723;0000;20,5647;;;
160724;0000;14,4492;;;
160725;0000;13,5768;;;
160726;0000;13,7212;;;
160727;0000;8,89507;;;
160728;0000;8,65491;;;
160729;0000;12,4306;;;
160730;0000;10,1429;;;
160731;0000;9,35237;;;
160801;0000;11,2467;;;
160802;0000;9,78261;;;
